Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,om-pe11,Ethernet1,172.31.255.1/31,spine,om-spine1,Ethernet1,172.31.255.0/31
l3leaf,om-pe11,Ethernet2,172.31.255.3/31,spine,om-spine2,Ethernet1,172.31.255.2/31
l3leaf,om-pe12,Ethernet1,172.31.255.5/31,spine,om-spine1,Ethernet2,172.31.255.4/31
l3leaf,om-pe12,Ethernet2,172.31.255.7/31,spine,om-spine2,Ethernet2,172.31.255.6/31
l3leaf,om-pe21,Ethernet1,172.31.255.9/31,spine,om-spine1,Ethernet3,172.31.255.8/31
l3leaf,om-pe21,Ethernet2,172.31.255.11/31,spine,om-spine2,Ethernet3,172.31.255.10/31
l3leaf,om-pe22,Ethernet1,172.31.255.13/31,spine,om-spine1,Ethernet4,172.31.255.12/31
l3leaf,om-pe22,Ethernet2,172.31.255.15/31,spine,om-spine2,Ethernet4,172.31.255.14/31
